"Stock","Last","Change","%Change","Open","Low","High","Close","Volume","Value","Net-Foreign","52 Week High","52 Week Low","Support 1","Support 2","Resistance 1","Resistance 2","MA 20","MA 50","MA 100","MA 200","EMA 20","EMA 50","EMA 100","EMA 200","Trend-Short","Trend-Medium","Trend-Long","RSI(14)","RSI(14)","MACD(12,26,9)","ATR(14)","Volatility","CCI(20)","STS(14,3,3)","%R(14)","VolumeSMA(10)","VolumeSMA(15)","VolumeSMA(20)","ValueSMA(10)","ValueSMA(15)","ValueSMA(20)","CandleStick(1)","CandleStick(2)","CandleStick(3)","YTD%","MTD%","WTD%","NFB(5)","NFB(15)","NFB(30)","NFB(60)","NFB(360)","EPS","EPS%","P/E","DPS%","P/BV","ROE"
"2GO","17.50","-0.42","-2.34%","18.00","17.50","18.00","17.92","28,300.00","503,422.00","0.00","30.90","8.78","17.43","16.45","18.26","19.90","18.1750","19.1478","18.9510","20.5826","18.1635875458","18.675635788","19.0036338288","18.3335280275","DOWNTREND","DOWNTREND","SIDEWAYS","39.6516189348","NEUTRAL","-0.2717356384","3.49%","NEUTRAL","-118.5320727864","4.7568657092","-100.00","26,440","37,820","54,380","476,516.80","690,045.20","999,563.45","Black Marubozu","None","None","-5.30%","-2.78%","-2.34%","8,950.00","-1,277,216.00","450,363.9999","389,622.0003","-16,047,878.0003","-0.02","81.82%","-875.00","0","10.6707317073","0"
"8990P","100.20","-1.50","-1.47%","100.70","100.20","100.80","101.70","26,000.00","2,612,640.00","0.00","102.40","100.00","100.10","100.10","101.90","102.20","101.12","101.4280","0.00","0.00","101.1280048351","101.2832438612","0.00","0.00","SIDEWAYS","SIDEWAYS","NONE","42.3587255025","NEUTRAL","-0.110451485","0.62%","LOW","-147.6026836852","42.5925925926","-94.4444444444","11,615","13,207","17,799","1,172,066.00","1,242,764.80","1,733,170.15","Black Long Day","None","None","0.00%","-1.09%","-1.47%","939,654.00","3,654,865.00","3,654,865.00","4,947,226.00","0.00","0.00","0.00%","0.00","0","0.00","0"
"AB","18.44","0.14","0.77%","18.42","18.40","18.44","18.30","2,600.00","47,874.00","0.00","26.00","9.50","17.06","12.55","18.52","19.49","18.1860","15.9912","15.7102","13.95615","17.7901248281","16.6792561187","15.7707045502","14.8342159226","UPTREND","UPTREND","SIDEWAYS","57.9011908792","NEUTRAL","0.7780670634","6.48%","HIGH","60.0037857278","78.4722222222","-19.4444444444","5,440","5,200","7,790","98,041.60","93,210.6666666667","141,792.00","Spinning Top","None","None","22.93%","2.67%","0.77%","0.00","17,960.00","-357,078.00","-663,390.00","-532,245.00","-0.03","0.00%","-614.6666666667","0","27.1176470588","0"
"ABA","0.3050","0.00","0.00%","0.31","0.2950","0.31","0.3050","800,000.00","238,300.00","-14,750.00","0.42","0.29","0.2950","0.2925","0.3150","0.36","0.31275","0.3053","0.3133","0.338675","0.3084700885","0.309068064","0.3164441667","0.3329812633","DOWNTREND","SIDEWAYS","SIDEWAYS","47.9938195542","NEUTRAL","0.0008315269","5.34%","HIGH","-66.1824051655","13.3986928105","-83.3333333333","1,940,000","4,798,000","4,195,500","590,125.00","1,621,876.6666666667","1,406,085.00","Hanging Man","None","None","-1.61%","-1.61%","0.00%","-14,750.00","26,900.00","-1,100.00","-30,600.00","15,899,769.9997","-0.01","0.00%","-30.50","0","0.1580310881","0"
"ABG","19.92","-2.08","-9.45%","22.00","19.90","23.50","22.00","92,700.00","1,892,408.00","82,075.00","34.90","15.70","19.15","18.27","23.85","25.82","19.6460","18.8314","18.3075","22.12045","19.8739316957","19.1527353277","19.2864000801","19.9283925172","UPTREND","UPTREND","SIDEWAYS","52.2067852595","NEUTRAL","0.4675133793","6.77%","HIGH","106.9760007869","47.552807831","-77.743431221","104,050","77,533","73,795","2,289,487.40","1,680,508.5333333333","1,555,952.60","None","None","None","14.75%","3.75%","-9.45%","-139,200.00","-133,436.00","-98,822.00","-58,379.9999","298,426.00","-0.01","66.67%","-1,992.00","0","22.1333333333","0"
"ABS","28.60","0.20","0.70%","28.50","28.50","28.60","28.40","40,700.00","1,163,580.00","0.00","46.70","27.50","27.95","27.95","28.80","31.90","29.77","31.70","33.9095","37.8575","29.6842410032","31.4257208431","33.6693081973","36.973622925","DOWNTREND","DOWNTREND","DOWNTREND","23.521113577","OVERSOLD","-0.9474486444","1.77%","LOW","-97.924773022","29.7075569358","-60.7142857143","87,030","74,380","79,580","2,533,454.50","2,177,179.6666666667","2,379,638.75","White Marubozu","Bullish Harami","None","-17.34%","-9.92%","0.70%","0.00","0.00","0.00","0.00","0.00","3.89","-14.13%","7.35218509","0","0.7669616519","0"
"ABSP","27.55","-0.45","-1.61%","28.00","27.50","28.00","28.00","22,200.00","620,545.00","-620,545.00","47.20","27.50","27.52","27.52","28.38","31.55","29.2625","31.4320","33.8160","37.97325","29.1705381357","31.1011897088","33.5306850924","37.0391167409","DOWNTREND","DOWNTREND","DOWNTREND","19.0006258557","OVERSOLD","-1.0612646997","1.87%","LOW","-111.8613549404","0.00","-97.9591836735","165,590","219,660","181,400","4,698,746.90","6,365,026.60","5,291,353.95","Black Long Day","None","None","-20.14%","-11.13%","-3.33%","-4,800,415.00","-10,293,100.00","-19,428,055.00","-37,054,910.00","-514,675,956.50","0.00","0.00%","0.00","0","0.00","0"
"AC","950.00","32.00","3.49%","928.00","917.00","952.00","918.00","559,020.00","523,979,410.00","53,642,440.00","1,116.00","818.00","912.00","876.00","954.50","1,071.00","1,009.50","1,032.68","1,032.0850","973.2350","993.5928867204","1,018.6283308678","1,014.5995322274","979.1370070087","DOWNTREND","SIDEWAYS","SIDEWAYS","39.4468177533","NEUTRAL","-19.2221115551","3.05%","NEUTRAL","-115.2939263355","16.264619883","-72.3684210526","554,275","419,002","374,376","534,044,049.50","407,406,614.6666666667","369,236,698.50","None","None","None","-6.40%","-10.12%","3.49%","-891,390,782.50","-2,143,687,980.00","-2,365,567,765.00","-4,162,746,810.00","-3,776,949,482.50","45.03","23.10%","21.0970464135","0","2.5769001248","0"
"ACE","1.24","0.01","0.81%","1.24","1.23","1.24","1.23","44,000.00","54,370.00","0.00","2.37","1.22","1.22","1.17","1.32","1.75","1.35","1.36","1.4178","1.57085","1.3241883559","1.3634277548","1.4212221282","1.4714781126","DOWNTREND","SIDEWAYS","DOWNTREND","42.301716412","NEUTRAL","-0.0148643749","6.73%","HIGH","-118.0705543557","4.0702263642","-92.3076923077","353,200","544,867","757,100","458,821.00","745,933.3333333333","1,120,219.50","Dragonfly Doji","Tweezer Bottoms","None","-10.79%","-8.15%","0.81%","19,050.00","69,709.9999","164,509.9999","210,309.9999","2,720,429.9996","0.52","40.54%","2.3846153846","0","0.2638297872","0"
"ACPB1","510.00","6.00","1.19%","510.00","510.00","510.00","504.00","400.00","204,000.00","0.00","550.00","500.00","504.00","500.00","518.00","537.50","509.10","516.62","521.4250","522.4875","510.7701635658","515.2553634168","518.7409838278","521.4036345523","SIDEWAYS","SIDEWAYS","SIDEWAYS","48.5481125598","NEUTRAL","-2.589308539","1.41%","LOW","15.1108944675","49.4623655914","-51.6129032258","1,114","827","3,255","562,812.00","417,673.3333333333","1,661,350.25","White Marubozu","None","Three White Soldiers","-3.41%","-1.54%","-1.54%","0.00","-388,890.00","-8,042,465.00","-13,357,225.00","-74,029,130.00","0.00","0.00%","0.00","0","0.00","0"
