"Stock","Last","Change","%Change","Open","Low","High","Close","Volume","Value","Net-Foreign","52 Week High","52 Week Low","Support 1","Support 2","Resistance 1","Resistance 2","MA 20","MA 50","MA 100","MA 200","EMA 20","EMA 50","EMA 100","EMA 200","Trend-Short","Trend-Medium","Trend-Long","RSI(14)_VALUE","RSI(14)","MACD(12,26,9)","ATR(14)","Volatility","CCI(20)","STS(14,3,3)","%R(14)","VolumeSMA(10)","VolumeSMA(15)","VolumeSMA(20)","ValueSMA(10)","ValueSMA(15)","ValueSMA(20)","CandleStick(1)","CandleStick(2)","CandleStick(3)","YTD%","MTD%","WTD%","NFB(5)","NFB(15)","NFB(30)","NFB(60)","NFB(360)","EPS","EPS%","P/E","DPS%","P/BV","ROE"
"2GO","15.20","-0.30","-1.94%","15.60","15.10","15.84","15.50","45,100.00","684,538.00","0.00","30.90","14.70","15.15","12.46","15.70","16.95","15.8330","16.8568","18.2353","18.98885","15.8173564706","16.6764488004","17.5475953983","17.7164734678","DOWNTREND","DOWNTREND","DOWNTREND","36.7399838176","NEUTRAL","-0.4510923933","4.20%","NEUTRAL","-104.5963067799","0.00","-95.652173913","35,570","58,047","58,330","551,151.60","941,152.1333333333","944,701.60","None","Bearish Engulfing","None","-17.75%","-7.32%","-1.94%","178,926.00","261,033.9999","764,848.0001","3,162,223.0002","-12,598,835.0001","-0.09","-280.00%","-168.8888888889","0","10.1333333333","0"
"8990P","99.45","1.75","1.79%","97.70","97.70","99.95","97.70","900.00","88,730.00","0.00","102.40","97.00","97.35","97.35","100.15","102.20","100.19","100.65","0.00","0.00","100.0555104168","100.52365439","0.00","0.00","SIDEWAYS","SIDEWAYS","NONE","44.4632652479","NEUTRAL","-0.2284033341","0.71%","LOW","-202.8542303772","0.00","-38.75","18,207","14,354","12,396","1,820,444.00","1,435,909.80","1,240,437.65","White Long Day","Bullish Harami","None","-0.75%","-0.75%","1.79%","148,700.00","148,700.00","679,840.00","4,334,705.00","0.00","0.00","0.00%","0.00","0","0.00","0"
"AB","18.18","0.60","3.41%","18.18","18.18","18.18","17.58","100.00","1,818.00","0.00","26.00","11.50","16.99","12.55","18.76","19.70","18.4710","18.4144","16.6462","15.15625","18.4365582567","17.9757961925","17.0255774708","15.7997817104","SIDEWAYS","SIDEWAYS","UPTREND","47.5225417078","NEUTRAL","0.1254950516","6.14%","HIGH","-25.8793511937","54.3090618827","-29.9212598425","3,990","3,660","4,915","69,480.20","64,971.4666666667","87,935.20","White Marubozu","Bullish Harami","None","21.20%","-2.78%","-2.99%","0.00","0.00","0.00","-357,078.00","-531,055.00","-0.02","33.33%","-909.00","0","27.1343283582","0"
"ABA","0.2220","-0.0060","-2.63%","0.2310","0.22","0.2350","0.2280","4,180,000.00","945,710.00","14,040.00","0.42","0.22","0.2210","0.2210","0.2550","0.30","0.26655","0.28782","0.29676","0.320905","0.2608450493","0.2805791506","0.2954711013","0.3157776911","DOWNTREND","DOWNTREND","SIDEWAYS","21.5571489419","OVERSOLD","-0.0128323088","5.12%","HIGH","-154.2197935641","0.00","-96.6666666667","2,411,000","3,477,333","2,674,000","588,866.00","911,290.6666666667","703,065.50","None","None","None","-28.39%","-26.00%","-2.63%","-67,190.00","162,659.9999","165,609.9999","-11,340.0001","732,479.9996","0.00","-100.00%","0.00","0","0.1162303665","0"
"ABG","19.62","-0.73","-3.59%","20.20","19.62","20.70","20.35","67,500.00","1,336,981.00","60,240.00","34.90","15.70","19.54","18.73","20.90","22.48","20.4735","20.3456","19.3257","20.14765","20.490592137","20.1885103464","19.9078668054","20.0818623619","UPTREND","SIDEWAYS","UPTREND","41.7468612623","NEUTRAL","0.1398281029","5.65%","HIGH","-81.7074890696","17.6122931442","-100.00","53,760","47,327","41,665","1,106,254.50","966,037.20","847,595.70","None","None","None","13.02%","-2.14%","-3.59%","220,920.00","814,690.00","907,185.00","1,163,721.00","782,781.00","-0.01","0.00%","-1,962.00","0","21.80","0"
"ABS","26.50","-0.20","-0.75%","26.70","26.50","27.00","26.70","59,900.00","1,594,980.00","0.00","43.90","26.10","26.30","26.30","27.20","28.50","27.1550","28.1190","30.4940","34.90075","27.1790833199","28.3165335316","30.3891809541","33.9526466488","DOWNTREND","DOWNTREND","DOWNTREND","32.9478560224","NEUTRAL","-0.4962872067","1.79%","LOW","-93.2728647014","38.4803921569","-75.00","61,060","65,807","56,970","1,635,773.50","1,779,903.3333333333","1,545,707.25","None","None","None","-23.41%","-5.36%","-0.75%","0.00","0.00","0.00","0.00","0.00","4.06","-3.56%","6.5270935961","0","0.6988396624","0"
"ABSP","25.55","-0.05","-0.20%","25.75","25.55","25.75","25.60","1,150,800.00","29,524,550.00","-1,504,880.00","44.50","25.45","25.48","25.48","27.05","27.90","26.26","27.3430","30.1845","34.98775","26.3890975995","27.6452222216","29.9949710862","33.8863946671","SIDEWAYS","DOWNTREND","DOWNTREND","40.4322850804","NEUTRAL","-0.4858481091","2.50%","LOW","-96.5281591311","14.4144144144","-94.5945945946","192,760","167,167","170,250","4,968,550.50","4,324,215.3333333333","4,441,521.75","Black Marubozu","None","None","-25.94%","-5.02%","-0.20%","-1,589,070.00","-7,933,080.00","-17,528,930.00","-56,955,475.00","-458,602,520.00","0.00","0.00%","0.00","0","0.00","0"
"AC","938.50","3.50","0.37%","935.00","935.00","941.00","935.00","81,250.00","76,191,945.00","10,850,075.00","1,116.00","837.00","930.00","898.00","954.00","993.00","944.65","943.65","995.6150","987.6275","943.4451158578","955.1646782473","972.2240155232","965.2180141977","UPTREND","SIDEWAYS","DOWNTREND","48.2698747443","NEUTRAL","-0.1770667622","2.58%","LOW","-30.6854410202","30.6827454472","-75.6578947368","223,232","211,964","228,060","211,921,204.50","200,959,320.3333333333","215,629,496.50","Spinning Top","Bullish Harami","None","-7.54%","-2.85%","0.37%","-72,004,225.00","-70,144,530.00","-319,410,085.00","-2,743,783,095.00","-2,696,440,772.50","47.37","14.70%","19.8121173739","0","2.4615747784","0"
"ACE","1.38","0.00","0.00%","1.38","1.38","1.38","1.38","1,000.00","1,380.00","0.00","2.37","1.22","1.32","1.25","1.39","1.44","1.3615","1.3514","1.3689","1.5091","1.3608597532","1.3581560655","1.3890872126","1.4386662732","UPTREND","SIDEWAYS","SIDEWAYS","52.6273382279","NEUTRAL","0.006900289","3.82%","NEUTRAL","72.8497092133","49.7276688453","-25.00","21,000","93,533","103,650","28,688.00","129,062.6666666667","141,745.50","White Marubozu","Bullish Harami","None","-0.72%","2.22%","-1.43%","13,690.00","92,400.00","66,940.0002","205,450.0001","2,350,919.9998","-0.38","-258.33%","-3.6315789474","0","0.3157894737","0"
"ACPB1","500.00","0.00","0.00%","500.00","500.00","500.00","500.00","3,970.00","1,985,000.00","0.00","550.00","485.00","495.00","485.00","500.50","518.00","500.15","504.94","514.9950","517.5125","500.2640968304","505.2067404186","510.8203737593","516.177652728","DOWNTREND","SIDEWAYS","SIDEWAYS","48.3374991552","NEUTRAL","-2.7705653523","0.80%","LOW","-1.914137271","75.5775142731","-6.6666666667","1,531","3,019","2,837","761,616.00","1,501,501.3333333333","1,416,421.00","White Marubozu","Tweezer Bottoms","None","-5.30%","3.09%","0.00%","0.00","5,000.00","-3,017,600.00","-11,143,475.00","-83,504,480.00","0.00","0.00%","0.00","0","0.00","0"
